Provincia;Anio;Total;Hombres;Mujeres
Araba/Álava;1975;31.04;30.36;31.73
Araba/Álava;1976;31.11;30.43;31.8
Araba/Álava;1977;31.19;30.49;31.9
Araba/Álava;1978;31.32;30.6;32.05
Araba/Álava;1979;31.5;30.77;32.24
Araba/Álava;1980;31.74;31.01;32.47
Araba/Álava;1981;32.01;31.27;32.77
Araba/Álava;1982;32.34;31.6;33.09
Araba/Álava;1983;32.72;31.97;33.49
Araba/Álava;1984;33.1;32.34;33.87
Araba/Álava;1985;33.51;32.72;34.31
Araba/Álava;1986;33.91;33.13;34.7
Araba/Álava;1987;34.36;33.56;35.16
Araba/Álava;1988;34.83;34.02;35.64
Araba/Álava;1989;35.28;34.45;36.1
Araba/Álava;1990;35.75;34.91;36.59
Araba/Álava;1991;36.23;35.38;37.08
Araba/Álava;1992;36.68;35.81;37.54
Araba/Álava;1993;37.13;36.24;38.01
Araba/Álava;1994;37.57;36.67;38.46
Araba/Álava;1995;38.04;37.13;38.95
Araba/Álava;1996;38.49;37.55;39.42
Araba/Álava;1997;38.92;37.96;39.85
Araba/Álava;1998;39.35;38.37;40.31
Araba/Álava;1999;39.77;38.78;40.74
Araba/Álava;2000;40.15;39.17;41.12
Araba/Álava;2001;40.54;39.54;41.51
Araba/Álava;2002;40.89;39.89;41.88
Araba/Álava;2003;41.12;40.08;42.16
Araba/Álava;2004;41.31;40.24;42.39
Araba/Álava;2005;41.48;40.4;42.56
Araba/Álava;2006;41.66;40.56;42.75
Araba/Álava;2007;41.84;40.73;42.94
Araba/Álava;2008;41.98;40.88;43.09
Araba/Álava;2009;42.12;41.0;43.23
Araba/Álava;2010;42.32;41.19;43.46
Araba/Álava;2011;42.5;41.37;43.63
Araba/Álava;2012;42.74;41.6;43.87
Araba/Álava;2013;43.05;41.9;44.18
Araba/Álava;2014;43.32;42.16;44.47
Araba/Álava;2015;43.56;42.39;44.69
Araba/Álava;2016;43.76;42.59;44.89
Araba/Álava;2017;43.93;42.75;45.08
Araba/Álava;2018;44.1;42.92;45.25
Araba/Álava;2019;44.32;43.11;45.49
Araba/Álava;2020;44.51;43.29;45.7
Araba/Álava;2021;44.76;43.52;45.96
Araba/Álava;2022;45.05;43.8;46.27
Araba/Álava;2023;45.24;43.96;46.49
Araba/Álava;2024;45.47;44.18;46.73
Albacete;1975;33.16;32.24;34.07
Albacete;1976;33.32;32.37;34.26
Albacete;1977;33.46;32.48;34.43
Albacete;1978;33.62;32.61;34.63
Albacete;1979;33.78;32.73;34.81
Albacete;1980;33.96;32.91;35.0
Albacete;1981;34.13;33.03;35.21
Albacete;1982;34.31;33.21;35.4
Albacete;1983;34.51;33.4;35.61
Albacete;1984;34.72;33.6;35.83
Albacete;1985;34.94;33.82;36.05
Albacete;1986;35.17;34.06;36.28
Albacete;1987;35.43;34.31;36.53
Albacete;1988;35.68;34.59;36.76
Albacete;1989;35.96;34.88;37.02
Albacete;1990;36.24;35.17;37.3
Albacete;1991;36.55;35.48;37.6
Albacete;1992;36.78;35.7;37.84
Albacete;1993;36.98;35.91;38.04
Albacete;1994;37.21;36.13;38.29
Albacete;1995;37.46;36.38;38.53
Albacete;1996;37.72;36.62;38.82
Albacete;1997;37.98;36.85;39.11
Albacete;1998;38.28;37.14;39.41
Albacete;1999;38.55;37.4;39.69
Albacete;2000;38.84;37.68;39.98
Albacete;2001;39.13;37.98;40.26
Albacete;2002;39.39;38.24;40.52
Albacete;2003;39.55;38.41;40.7
Albacete;2004;39.71;38.57;40.86
Albacete;2005;39.9;38.75;41.05
Albacete;2006;40.06;38.91;41.22
Albacete;2007;40.18;39.02;41.35
Albacete;2008;40.32;39.15;41.51
Albacete;2009;40.51;39.36;41.67
Albacete;2010;40.73;39.6;41.88
Albacete;2011;40.99;39.88;42.11
Albacete;2012;41.25;40.15;42.36
Albacete;2013;41.54;40.45;42.63
Albacete;2014;41.89;40.79;42.99
Albacete;2015;42.19;41.07;43.32
Albacete;2016;42.53;41.39;43.67
Albacete;2017;42.84;41.71;43.98
Albacete;2018;43.12;41.98;44.25
Albacete;2019;43.41;42.25;44.56
Albacete;2020;43.67;42.52;44.83
Albacete;2021;43.85;42.71;44.99
Albacete;2022;44.14;42.97;45.3
Albacete;2023;44.34;43.16;45.53
Albacete;2024;44.59;43.4;45.78
Alicante/Alacant;1975;32.47;31.32;33.57
Alicante/Alacant;1976;32.49;31.34;33.6
Alicante/Alacant;1977;32.52;31.37;33.63
Alicante/Alacant;1978;32.6;31.43;33.73
Alicante/Alacant;1979;32.7;31.52;33.83
Alicante/Alacant;1980;32.85;31.66;34.0
Alicante/Alacant;1981;33.03;31.83;34.19
Alicante/Alacant;1982;33.19;32.0;34.35
Alicante/Alacant;1983;33.4;32.2;34.56
Alicante/Alacant;1984;33.64;32.45;34.8
