Provincia;Trimestre;Anio;homicidios_consumados;drogas;homicidios_tentativa;lesiones;secuestro;sexual_agresion;sexual_otros;robos_violencia;robos_fuerza;hurtos;vehiculos;resto;Inm_De Africa;Inm_De América del Norte;Inm_De Asia;Inm_De Centro América y Caribe;Inm_De Oceanía;Inm_De Sudamérica;Inm_Europa_UE;Inm_Europa_no_UE;EM_Total;EM_Hombres;EM_Mujeres;IPC_01_alimentos;IPC_02_tabaco;IPC_03_vestido;IPC_04_vivienda;IPC_05_hogar;IPC_06_sanidad;IPC_07_transporte;IPC_08_comunicaciones;IPC_09_ocio;IPC_10_enseñanza;IPC_11_restaurantes;IPC_12_otros;IPC_00_general;Pobl_Hombres;Pobl_Mujeres;Pobl_Total poblacion;Desigualdad_gini;Desigualdad_p80p20;Soc_num_sociedades_sa;Soc_desmboldo_sociedades_sa;Soc_num_sociedades_sl;Soc_desembolso_sociedades_sl;Soc_num_sociedades_total;Soc_desembolso_sociedades_total;Paro_tasa_actividad;Paro_tasa_paro;Paro_tasa_empleo
Albacete;1;2017;0;15;1;28;0;0;11;39;297;889;41;1503;6071;210;800;608;6;4857;1488;10157;42.84;41.71;43.98;0.3085192209292571;0.8157811594348824;0.4790330526067221;0.4842971017708082;0.2435127045627494;0.8773961429350824;0.786162622766081;0.4131733592806494;0.3314704369261738;0.3768264840182655;0.364452550104158;0.2182467354389187;0.2981392622686321;195566;196030;391596;32.5;2.8;2;120;597;21072;599;21192;57.42;24.48;43.36
Albacete;1;2018;1;12;0;24;0;3;22;33;231;811;23;1529;6495;222;826;656;9;4980;1518;10088;43.12;41.98;44.25;0.2954152468046694;0.7487907991435193;0.5570346874285316;0.4588247267969148;0.3671009715338519;0.7206400103596443;0.7796064541363732;0.4162006960466974;0.3538660739733882;0.3549316054715613;0.3942893784324016;0.3052079344762448;0.3540413657529036;194596;195123;389720;31.9;2.7;2;215;611;48812;613;49027;58.97;23.82;44.92
Albacete;1;2019;0;13;0;34;0;1;28;75;236;844;20;1901;7007;234;890;752;9;5154;1534;9857;43.41;42.25;44.56;0.601690113101069;0.4893678094267037;0.6137410764413295;0.557173113838504;0.4977013343366175;0.5623433293052612;0.7933639354102601;0.4179122278208789;0.0833690180943966;0.3328191284226764;0.5679242019113485;0.549927650904858;0.4940919977532323;194096;194535;388631;31.1;2.6;2;75;666;52544;668;52619;57.38;17.85;47.13
Albacete;1;2020;0;12;0;27;0;1;16;42;170;755;20;1696;7708;234;961;973;6;5830;1556;9925;43.67;42.52;44.83;0.7842482061889141;0.5128179761833352;0.5929874928651295;0.4355558068499427;0.4725807262739572;0.4340759998015711;0.7297093992625646;0.4268828111593544;0.3020398253082008;0.2061701549334051;0.5931018395087384;0.1937053679927407;0.5002931035908164;193953;194239;388192;31.2;2.6;3;175;486;9362;489;9537;56.58;20.72;44.85
Albacete;1;2021;0;18;0;20;0;2;23;30;117;435;18;1861;8200;236;967;1046;6;6159;1936;9738;43.85;42.71;44.99;0.8803677107457729;0.6485158404594378;0.5808364552104682;0.3556414894279591;0.5756534842595701;0.6660676365130443;0.6654876737923767;0.4130425907535688;0.5326122087070666;0.2712595083120355;0.455722360087464;0.4939947557615944;0.4744702604755533;193932;193951;387884;30.7;2.6;3;164;617;21662;620;21826;57.58;19.93;46.1
Albacete;1;2022;1;15;4;41;0;7;29;39;201;864;30;2423;8712;225;955;1105;6;6200;1881;9452;44.14;42.97;45.3;0.3031155101519715;0.5774222211273531;0.5231960502603316;0.6374658089116815;0.2165510175483636;0.5430193124335735;0.6499108504651699;0.5800414114399725;0.0787732457553066;0.6862990810359232;0.7575737345953198;0.5539646005097095;0.5214516882343284;193424;193112;386536;30.5;2.5;2;450;557;18961;559;19411;57.5;16.62;47.94
Albacete;1;2023;2;14;0;30;0;7;24;39;206;867;33;1631;8898;236;995;1167;6;6554;2059;9476;44.34;43.16;45.53;0.3634264069307947;0.7452495145781629;0.5934770926348597;0.5340828268416349;0.41867170064831;0.0502145955153364;0.7196980928119348;0.5810985158647214;0.5246716751611576;0.6018173855922925;0.7365927460852983;0.6241182377035354;0.5130132080917585;193430;192927;386357;30.19397993311037;2.5510204081632653;1;100;578;21210;579;21310;58.98;13.89;50.78
Albacete;1;2024;0;21;1;46;0;7;27;52;281;841;12;1672;9371;240;1026;1262;6;6854;2173;9376;44.59;43.4;45.78;0.6061153824628714;0.5816787230143362;0.5231274825441115;0.646722607607886;0.4846372604132671;0.1508840634201583;0.8532049267632811;0.5804199439826992;0.3950580613067506;0.6878015827060403;0.7177684467179666;0.6481933305368558;0.7049162332247884;194199;193715;387914;30.295986622073578;2.5;1;256;556;14779;558;15035;55.77;13.23;48.39
Albacete;2;2017;2;15;4;30;0;2;14;63;254;1041;29;1476;7482;220;864;870;7;5930;1524;10023;42.84;41.71;43.98;0.3464843773068631;0.793710780109158;0.3686612126028779;0.4437027614651123;0.2426612840521233;0.8505548867348782;0.6894294760089754;0.4141044074723283;0.2867975634382074;0.3768264840182655;0.3595798110871857;0.3393256094834292;0.2479097811426612;195292;195783;391075;32.5;2.8;2;120;597;21072;599;21192;58.81;25.32;43.92
Albacete;2;2018;1;25;0;27;0;2;23;67;231;1027;17;1668;6283;216;813;632;8;4918;1503;10122;43.12;41.98;44.25;0.3913828969303078;0.6757948311700864;0.3652809114530894;0.6189004013795835;0.3277081989194572;0.664549051857447;0.8243786367004843;0.4210480685805535;0.1491070148537137;0.3782238597382787;0.4164862005003191;0.4512063749786215;0.3394058056282336;194450;194958;389409;31.9;2.7;2;215;611;48812;613;49027;60.4;20.66;47.92
