Provincias,ccaa_norm,gini_2017,gini_2018,gini_2019,gini_2020,gini_2021,gini_2022,gini_2023,gini_2024
Albacete,castilla - la mancha,32.5,31.9,31.1,31.2,30.7,30.5,30.19397993311037,30.295986622073578
Alicante/Alacant,comunitat valenciana,35.1,34.5,33.7,33.6,32.8,32.8,33.22736156351791,33.86840390879478
Almería,andalucía,35.2,34.4,33.4,33.2,32.7,32.6,32.40121951219513,31.208536585365856
Araba/Álava,país vasco,,,,30.7,30.6,31.0,31.73809523809524,30.68367346938776
Asturias,"asturias, principado de",31.3,30.9,30.4,30.3,29.6,29.4,28.832797427652732,26.563987138263666
Badajoz,extremadura,32.1,31.7,30.8,31.0,30.0,29.7,28.99285714285714,29.093877551020405
"Balears, Illes","balears, illes",32.3,31.9,31.4,32.8,31.7,31.0,31.219081272084807,31.438162544169614
Barcelona,cataluña,33.2,32.7,32.3,32.3,31.9,31.8,31.694,30.74
Bizkaia,país vasco,32.0,31.6,31.7,32.4,31.9,31.9,32.65952380952381,31.57448979591837
Burgos,castilla y león,30.1,29.4,28.9,29.3,28.7,28.7,28.896575342465752,29.289726027397258
Cantabria,cantabria,30.9,30.4,30.0,30.1,29.4,29.2,27.658085808580854,27.465346534653463
Castellón/Castelló,comunitat valenciana,32.0,31.4,30.8,30.6,30.0,30.1,30.492182410423453,31.080456026058634
Ceuta,ceuta,43.3,42.9,42.4,42.3,40.5,40.6,38.68490566037736,38.2061320754717
Ciudad Real,castilla - la mancha,32.4,31.8,31.1,31.5,30.7,30.5,30.19397993311037,30.295986622073578
"Coruña, A",galicia,31.0,30.5,30.0,30.0,29.4,29.5,28.86785714285714,28.235714285714284
Cuenca,castilla - la mancha,31.9,31.1,30.6,30.5,30.2,30.2,29.896989966555186,29.997993311036787
Cáceres,extremadura,32.6,31.9,31.0,31.1,30.1,30.1,29.383333333333333,29.485714285714284
Cádiz,andalucía,34.5,33.6,32.6,32.9,32.0,31.7,31.50670731707317,30.346951219512192
Córdoba,andalucía,32.5,31.9,31.0,31.3,30.0,30.2,30.01585365853659,28.910975609756097
Gipuzkoa,país vasco,30.4,29.9,29.6,29.6,29.4,29.4,30.1,29.1
Girona,cataluña,32.7,32.1,31.6,32.1,31.4,31.0,30.896666666666665,29.966666666666665
Granada,andalucía,35.7,35.0,34.0,34.4,33.3,33.1,32.898170731707324,31.687195121951223
Guadalajara,castilla - la mancha,31.3,30.5,30.0,30.1,29.5,29.3,29.006020066889636,29.104013377926425
Huelva,andalucía,32.3,31.5,30.4,30.6,29.8,29.6,29.419512195121957,28.33658536585366
Huesca,aragón,29.9,29.4,28.9,29.0,28.7,28.6,28.495238095238093,28.390476190476193
Jaén,andalucía,31.7,31.3,30.5,31.1,29.7,30.1,29.91646341463415,28.815243902439025
León,castilla y león,30.7,30.0,29.5,29.7,28.8,29.0,29.198630136986303,29.595890410958905
Lleida,cataluña,32.4,31.7,31.2,31.1,30.7,30.8,30.697333333333333,29.773333333333333
Lugo,galicia,30.0,29.7,29.1,29.1,28.7,28.8,28.18285714285714,27.565714285714286
Madrid,"madrid, comunidad de",36.7,36.3,35.8,35.9,35.2,35.3,34.428395061728395,34.6462962962963
Melilla,melilla,44.1,43.3,42.5,42.4,40.3,39.9,39.803155339805826,40.96529126213592
Murcia,"murcia, región de",32.8,32.3,31.8,31.7,31.4,31.4,30.328327645051196,31.507167235494876
Málaga,andalucía,35.4,34.6,33.8,34.2,33.5,33.3,33.0969512195122,31.878658536585366
Navarra,"navarra, comunidad foral de",,,,,33.0,31.0,31.103333333333335,31.723333333333333
Ourense,galicia,31.6,31.2,30.7,30.4,30.1,30.1,29.455000000000002,28.810000000000002
Palencia,castilla y león,29.3,28.6,28.2,28.6,28.0,28.2,28.393150684931506,28.77945205479452
"Palmas, Las",canarias,33.8,33.3,32.8,33.3,32.9,32.1,30.069578313253015,30.553012048192777
Pontevedra,galicia,31.0,30.3,29.6,29.4,28.8,28.8,28.18285714285714,27.565714285714286
"Rioja, La","rioja, la",32.0,31.4,30.9,30.7,29.9,29.8,29.905673758865248,30.645390070921984
Salamanca,castilla y león,32.4,31.9,31.5,31.6,30.8,30.8,31.01095890410959,31.432876712328767
Santa Cruz de Tenerife,canarias,35.1,34.7,33.8,34.2,33.6,32.9,30.818975903614458,31.314457831325303
Segovia,castilla y león,30.9,30.3,29.9,30.2,29.4,29.5,29.70205479452055,30.106164383561644
Sevilla,andalucía,34.7,33.9,32.9,33.0,32.1,32.0,31.80487804878049,30.634146341463413
Soria,castilla y león,29.3,28.6,28.4,29.0,28.1,28.7,28.896575342465752,29.289726027397258
Tarragona,cataluña,33.1,32.6,31.9,32.1,31.6,31.2,31.095999999999997,30.159999999999997
Teruel,aragón,30.1,29.1,28.9,28.8,28.2,28.4,28.29597069597069,28.19194139194139
Toledo,castilla - la mancha,32.4,31.7,31.3,31.2,30.6,30.3,29.995986622073584,30.09732441471572
Valencia/València,comunitat valenciana,33.6,32.9,32.1,31.9,31.3,31.3,31.70781758957655,32.31954397394137
Valladolid,castilla y león,30.8,30.2,29.6,29.8,29.3,29.4,29.601369863013698,30.004109589041096
Zamora,castilla y león,31.3,30.5,30.1,30.1,29.3,29.7,29.903424657534245,30.31027397260274
Zaragoza,aragón,31.0,30.5,30.1,29.9,29.2,29.2,29.09304029304029,28.986080586080586
Ávila,castilla y león,32.8,32.1,31.6,32.0,31.0,31.0,31.21232876712329,31.636986301369866
